Codigo		ASCII		BINARIO

E		69		01000101
m		109		01101101
p		112		01110000	
e		101		01100101  		
z		122		01111010
a		97		01100001		
m		109		01101101
o		111		01101111
s		115		01110011

e		101		01100101
l		108		01101100

t		116		01110100
e		101		01100101
c		99		01100011
n		110		01101110
i		105		01101001
c		99		01100011
o		111		01101111

e		101		01100101
n		110		01101110

l		108		01101100
a		97		01100001
 
U		85		01010101
n		110		01101110
i		105		01101001
v		118		01110110
e		101		01100101
r		114		01110010
s		115		01110011
i		105		01101001
d		100		01100100
a		97		01100001
d		100		01100100
		
G		71		01000111
a		97		01100001
l		108		01101100
i		105		01101001
l		108		01101100
e		101		01100101
o		111		01101111
